cluster,CLM_NBR,CLM_LOSS_DESC
2,85-00110675,A crack in a sewer pipe caused water damage to a unit and to the carpet in a hallway.
4,19-00492825,Insured advised that the air conditioner no longer works
2,19-00314938,"The dental office directly above the insd office piece of equipment burst and caused water to break through their flooring, insd ceiling, and into the procedure room. Insd states that they have excess of $100k in damage"
2,19-00106296,"11 w. 2nd st, unit 365, 364, 366 and 206  water damage from unit 365  tenant activated sprinkler in bedroom with unauthorized/dangerous use of propane heater."
2,15-00727471,wind knocked over a light post and light post fell on business sign
3,19-00657346,CORONAVIRUS BUSINESS IS CLOSED DUE TO COVID19.
2,19-00899741,Sewer collapse. Proposal attached. please review and contact insured.
0,19-00526869,Unknown broke into office through a window. Stole 2 lap tops and 2 printers. Also stole keys to a truck and drove truck through the fence to exit the premises. Los Banos PD were notified and report has been filed.
3,19-00663677,CORONAVIRUS  business interruption claim due to the coronavirus.
0,19-00805638,Social security numbers were visible on W2 mailings
2,19-00758975,Sign fell down and was damaged
2,19-00656672,Floor damage and mold in kitchen due to water leak. Water leak coming from an ouside utility closet that stores the hot water heater and water softener machine flooded the floor in kitchen causing the pressure to lift pipes out of drain and pour water out. Leaked through wall and gone under the floor tile in kitchen.
2,85-00025283,"WATER DAMAGE OCCURRED TO THE BUILDING ON THE FIRST FLOOR FROM A FAULTY SPRINKLER SYSTEM, THERE IS 2"" OF STANDING WATER, AND THEIR CT SCAN MACHINE IS STANDING IN THE WATER. DAMAGE ALSO OCCURRED TO THE SUPPLY ROOM, FURNITURE, CARPETING, WALLS AND BASEBOARDS."
4,19-00496409,cpro;chiller 7/12/19-insured chiller went down in dining hall
4,19-00284763,Lighting struck roof on insured_s building causing some of their electrical operations to sustain damage.
0,15-00916312,"Ransomware - want $5,200 to release computer information. Unfortunately, the insured_s entire computer system is down - xrays, etc. Unable to see patients."
0,19-00602715,**REKEYED TO A NEW CLM # 19-00611673Employee dishonesty- Insured discovered employee was embezzling from the company
3,15-00844376,Hurricane Matthew/Spoilage and Business Income
2,85-00164794,"CEM overseas had a fire at their warehouse. The plant, equipment, fixtures and manufacturing area are untouched. All the raw materials to build products were destroyed."
2,19-00012041,Water supply line in air conditioner ruptured and overflowed catch pan. Water damaged T-Bar ceiling and two pieces of equipment
0,85-00231205,package was lost
3,19-00643519,Insd is submitting a claim for loss of business income due to restrictions put in place due to the coronavirus.
4,19-00670412,Equipment Breakdown.  Chiller on roof stopped working.  Vendor inspected and determined compressor has gone out.
1,85-00183579,Semi truck from trucking co ( Vendor ) backed into or hit their sign located along Telegraph rd. East side of the parking lot
4,19-00784048,A gas explosion occurred and everything is gone
3,19-00172240,**SPCL ACCT**Please set up a business interruption claim  O7W D464024
2,19-00577664,"THE TOILET BOWL HAD A MASSIVE OVERFLOW RESULTING IN THE TOILET BREAKING, WATER DAMAGE THROUGHOUT THE ENTIRE OFFICE, SOAKED THROUGH TWO FLOORS OF OFFICES, DOWN TO THE GROUND FLOOR CAUSING DAMAGE TO CEILINGS, COMPUTERS, VARIOUS WALLS AND OTHER CONTENTS. INSD PROPERTY HAS DAMAGE TO CARPET AND TILE FLOORING, AS WELL AS RUGS."
2,19-00384935,Rain leaked into building causing interior water damage and buisness property damage.
0,15-00891843,Business Property stolen out of insureds vehicle.
0,85-00428844,Four garage access doors jimmied; one garage car door jimmied. Door jambs and door knobs broken
0,19-00550325,Insured uses a hosted desktop company. The company who they use had a cyber breach that has completely taken down insured_s system.
2,19-00931371,"**REKEYED FROM OLD CLM#
19-00916561**
Water damage occurred at Schwanke-Kasten Jewelers located at the Marriott Milwaukee sometime between Friday 7/12/19 when they closed for business and today 7/16/19 at 11am. Carpets in the store were saturated and jewelry
cabinets had begin to absorb water. It appears that water entered the store from the ceiling. Marriott Engineering department is investigating the cause of the issue and has contacted a local plumber to assist."
3,19-00655178,Disruption of business - Loss of Income
0,85-00065987,Shipping co lost$11415 worth of insured's property
0,19-00286569,Data breach - last transaction was 12/21/17.  Involved a former employee. 5/18/18 was the employee_s last day.
2,19-00654458,"Feeder tube to toilet and caused water pressure , flooded room , hallway through walls and flooded two rooms below , elevator standing water , through basement water damage 3 stories"
2,85-00311818,"While JC National was conducting a building repair in unit 2B, I was asked to shut the water down while they replaced a pipe fitting. I turned off the water, we used the slop sinks to drain the water from the system. Unknown to me at the time, the drain in the 5th Floor slop sink was clogged. As a result, water overflowed the slop sink, onto the floor and into the elevator shaft which cause d the elevator to stop working."
2,15-00957369,Tenant on Apt 304 fell sleep while having a cigar -1 apt caught on fire-automatic sprinklers came on causing damage to that unit and another 2 or more units.
1,19-00530152,Our insureds property was damaged as a result of a vehicle colliding with it
0,85-00081570,Employees laptop was stolen while on a business trip in Argentina
0,19-00041734,Insd. lost a lot of data.  They retrieve and store documents for businesses.  Their system failed.  Possibly from ransom ware.  Lost several hundred thousand documents.  Contacted a Company about recovering the data.  Documents very valuable to Company.  It_s data they store and resell.
2,85-00117391,Insured noticed roof leak
2,85-00147478,Water line broke in main bar on main floor. Standing water on wood floor. Water overflowed into the Audio-Visual closet in the level below. Wood floors are now buckling and electronic equipment is damaged
3,19-00645389,CORONAVIRUS - loss wages and business
2,19-00132446,"Due to City water main break , Insd had water back up in to building including elevator shaft which drained in to 2 of insd restaurant/s."
2,85-00003761,"During the night, main water line broke. 75% warehouse is covered in water along with 75% of the store in front of building. Damaged merchandise caused
by water on floor."
0,19-00474899,Rental Car Broken Into
2,19-00690828,"The insured informed us of a mold situation effecting the shelter building at their 3300 Wantagh location and would like to put their insurance carrieronnotice. The situation was brought to their attention by their tenant, Last hope Animal Rescue on 6/5/2020. The tenant had a mold test performed on5/29 which revealed its presence. The cause appears to be a weak area in the roof membrane that caused a water infiltration. The insured plans onhaving thesituation rectified. They advised that the remediation cost will be somewhere between $15,000 - $20,000. There is no known bodily injury."
2,85-00343389,Roof leak into unit causing damage.
0,19-00112534,GARAGE DOOR SPRINGS BROKE. CAUSING GARAGE DOOR TO FALL AND SUSTAIN DAMAGE
3,19-00648647,Coronavirus: Business interruption due to Covid-19
2,15-00880069,Insd had raw sewage back up in basement due to improper disposal of feminine hygiene products.
4,19-00674146,"I was doing my weekly visit to the store to check but yesterday may 14th when I went to check I found our freezer was broken and all the food inside was spoiled, non of the items were good to save , so we threw all of it ."
0,15-00916754,THEFT/BURGLARY UNKNOWN DAMAGE TO THE EXTENT PLEAS ASK INSURED FOR DETAILS.
2,85-00348686,Broadway Towers Apts - fire in unit 318 cause damage to unit
0,15-00862597,"Employee theft. Insds client claims employee stole personal property from their residence. Jewelry, tools, some laundry detergent, and key. The insd replaced locks at the residence."
2,19-00227136,"FURNITURE IS DAMAGED AND PRINTERS AND MISC. OFFICE SUPPLIES SUCH AS CABINETS, COUCHES, CHAIRS, ART WORK"
2,85-00075820,"WEATHER RELATED HAIL, WIND AND SNOW DAMAGES TO ROOF MISSING AND BROKEN SHINGLES."
2,85-00262479,INSURED STAGES HOMES AND THE HOME HAD WATER DAMAGE THAT DAMAGED HER STAGING FURNITURE.
3,19-00668842,Corona virusLoss of business due to government ordered shut down only open for limited emergency services. Limited access to PPE.
3,19-00648879,"CORONAVIRUS-Kansas city metro area ordered ""stay at home"" for all non-essential businesses. Order issued for 3/24/20-4/24/20 and loss of revenue for approx. $26,000."
2,85-00142374,roof damage with some water getting in the building. Roofer looked and said storm had damaged the roof.
0,15-00921944,"The shop was broken into. front window broken with hammer, office door kicked in. $10 missing from till. Seat cushions and bench in front of shop damaged and torn. See management form attached Insureds has receipts and will forward to adjuster when assigned."
3,19-00651401,CORONAVIRUS   Business interruption due to corona virus. INSD_s business is considered essential but INSD is not getting enough supplies to maintain business
2,19-00646882,Blender was to make a batch of product and flew up in the air and hit the drop ceiling and it fell and damaged the wiring and duck work
2,19-00584622,"The Building exterior wall brick veneer is coming off the front of the building and is sliding down. There are cracks that might have been caused by rain. 2505 Merced Street, Fresno, CA 93721"
2,19-00294501,WATER DAMAGE TO ALL MR. MERCHANTS PROPERTIES HAVE WATER DAMAGE. INVENTORY FROM THE STORES HAVE BEEN DAMAGED
0,85-00169336,"One of insured employees was traveling by car to a conference, and suffered a break-in. Employee is fine, but a company laptop was stolen and some other personal items of the employee. Employee filed a police report, attached."
3,19-00660642,COVID-19 CLAIM CORONAVIRUS COVID-19
3,19-00647103,CORONAVIRUS    Loss of business due to government ordinance.
0,19-00018602,Break in ruined door and took two liquor bottles and cash from registers
0,85-00280067,"22,000 IN CASH WAS STOLEN OUT OF THE INSURED'S SAFE. CASE NUMBER IS SAPD22262896"
2,19-00682796,Water is penetrating the foundation and causing water damage on the inside of the building.
4,15-00724480,"The office was ""single phased"" by IPL, causing power strips and computer parts to burn up"
0,19-00672686,Insured reported vandalism to building. Damage was to 8 new windows.
0,19-00807460,Insured ordered and paid for items (nitrile gloves). The items were never delivered. Supply chain appears to have been fraudulant
2,19-00615309,LOC Fergus Falls MNplumbing issue causing back up of sewage
2,19-00609017,Women_s bathroom flooded due to backed up sewer lines. Damage to flooring in bathroom and utility room.
2,85-00153905,Damage due to fire. See attachments.
3,19-00648208,CORONAVIRUS -Business interruption revenue loss
2,19-00116550,"Toilet leaked and caused damage to floors, walls and into the garage"
2,19-00621287,"Insd landlord was renovating the outside of the insd premise, Insd sign had to come down to do the renovation. Sign was wrapped up and put to the side of the building. Insd notice sign was stolen on 1/29/2020"
2,19-00288262,"Busted Pipe - ServPro was called in on 09/05/18 to start drying everything out. The damage is in the headmaster_s office, teacher_s lounge, and men_s restroom"
0,85-00165211,"Insured had temporary storage at 1828 Buerkle Road, Unit 1153, White Bear Lake and was broken into. Some items were taken and the burglars left the place a mess"
3,19-00935024,Simon Barkagan  OBY-H103597-00 Claim Notification 7/6/2021 Email 3 of 3
4,19-00381894,CT machine stopped working
3,19-00661270,"Damage to customer_s property due to harmful substances from employees, customers, suppliers, service personnel, general public.Damage to suppliers due to harmful substances from employees, customers, suppliers, service personnel, general public.Damage to the public due to harmful substances from employees, customers, suppliers, service personnel, general public Governmental ordered shutdown due to harmful substances from employees, customers, suppliers, service personnel, general public Acts of Civil Authority requiring shutdown due to harmful substances from employees, customers, suppliers, service personnel, general public Projected Extra Expenses to shorten Period of Restoration:MarketingAdvertisementOvertime pay"
2,85-00224026,Toilet leaked overnight causing massive flooding for upstairs and suite below (therapeutic Pathways). See photos of damage below
2,85-00342196,"Due to Freeze/Ice/Snow, water leak from clinic next door caused damages"
2,85-00406978,"Unoccupied portion of building experienced water leak which, in turn, ran into the occupied space causing extensive damage to flooring in lobby, baseboards, and possibly other business personal property.  Insured was able to turn off the main water supply line and contacted ServePro who has dried out the space but now wants to take additional remedial measures (e.g., drilling into walls, pulling up flooring, etc.).  Before insured agrees to move forward with ServePro, we need an adjuster assigned to ""green light"" the repair work henceforth"
3,19-00667357,CORONAVIRUS Insured experiencing business income loss due to Stay Home Stay Safe Government Order
1,19-00070525,Vehicle hit and ran insured_s canopy. Police report # 17-14032
4,19-00086924,A rodent nested into insureds generator that_s connected to shop causing damage to computer board.
2,19-00792476,"WATER MAIN BREAKAGE OCCURED 430 AM. DID NOT STOP TILL THE NEXT DAY. INSURED LOST THEIR INVENTORY DUE TO THE DAMAGES/INCIDENT. ENTIRE SHOPPING DISTRICT AREA WAS SHUT DOWN FOR TWO DAYS. DEEMED UNLIVABLE BY FIRE DEPARTMENT. POWER WAS NOT ESTABLISHED UNTILL 12/14/2020. TRAVELERS INSURANCE CONTACTED INSURED, SERV PRO IS PERFORMING WORK ON PROPERTY ON BEHALF OF TRAVELERS."
3,19-00671422,DUE TO GOVERNMENT MANDATED SHUT DOWN ON 3/18/20 THE BUSINESS HAD TO CLOSE BECAUSE OF MANDATE.
3,19-00670642,Loss of Business Income: Insured forced to close due to COVID-19
0,19-00460211,"Insured_s daughter, Ashley, went downstairs to make sure the door was looked and found that a man had broken into the building and was breaking glass,windows and the door. He broke open the fire alarm box and pulled out the wires. He then noticed that the daughter was there and threateneded her andstarted to come after her with a broken bottle from a recycling bin nearby. Ashely was able to get away and hold a door shut while 911 was called. RocklandPD arrived and arrested the man. The person untimately broke the back door of the building, the door to one of the shops inside, windows, damaged thealarm system and some wooden stools that were in the hall. Insured estimates $2500+ damage and is gathering estimates"
2,15-00946209,"Flood damage in the basement of the Riddle, OR location"
0,19-00743394,Glass damage to front door due to bullet/beebee pellets
1,15-00911875,One of insd_s vehicles struck rear of building. Structure damage only
3,19-00685138,CORONAVIRUS Business income loss arising from Covid 19.
0,85-00061008,Insured's network hacked by ransom ware
0,19-00145878,FRONT LARGE PLATE GLASS WINDOW BROKEN PLEASE USE JUSTIN AS ADJUSTER WORKING ON A PREVIOUS CLAIM  1900140163
0,15-00712118,"There was a burglary at this store. Merchandise was stolen, Damage to property. Damage to glass on front door. Jewlery case was smashed, register was damaged. Hard drive and monitor, printer were smashed. Other items."
0,15-00939977,Broken store window and jewelry case as well as the jewelry was taken
3,19-00659976,CORONAVIRUS   Business Interruption / Income loss due to COVID-19
1,19-00177303,Damage to rental equipment sunbelt rental
4,19-00727705,Lightening struck Building; Damage to Survallence Camera_s and computer system/network
3,19-00650916,INCOME LOSS DUE TO LOCAL GOVERNMENT MANDATE REGARDING COVID-19.
0,19-00663756,The insured thinks that some Kids were throwing rocks at the siding of the building causing multiple holes in the siding. There are kids that skate board over in that area
0,19-00632753,"Insured had an angry client that trashed their waiting room which included ripping/scuffing the upholstery on a few chairs, removed signage (TBD if its broke) from the wall, some damage to walls, scratched the wood on the reception desk, scratched the glass window to the conference room."
2,85-00174795,HAIL DAMAGE TO ROOF
3,19-00663034,*****CORONAVIRUS*****business interruption due to virus
0,85-00049003,Not sure if this is vandalism or an attempt to break in to the property. The stained glass windows on the right side of the main entrance were broken by a large piece of concrete being thrown through the window. 5 outside doors had the door knobs knocked off and they used something to break through the doors. Another rock was thrown through a window in the fellowship hall. No one was onsite and the alarm was not triggered.
2,19-00223019,Water line broke second floor in mechanical room
2,19-00863453,Water damage to storage area
2,15-00967279,Significant structural cracks have been discovered. Cracks in drywall in living room and bathroom walls. See attached.
2,19-00303279,"Tenant in 15J left the bathroom faucet running while he was out. The sink was clogged and overflowed causing damage to units 15j, 14j, 11j and 10j"
2,19-00823788,"Condo units.  One building has 4 units.  One-story units with 3 bedrooms, 1 bath.  Fire started due to unknown reason in one unit, extensive fire and water damage to this unit.   Water and smoke damage to the other 3 units in this building, unknown extent."
0,15-00953706,Vandalism to theft of air condituininn units on building at 7125 Georgetown Rd.
0,85-00150787,My business was broken into. The front door was damaged and glasses inventory was stolen.
3,19-00662626,CORONAVIRUSPer ADA and Governor office has been shut down
2,19-00254866,"Drain broken for the catch basin. Sewage has flood into parking lot, and  basement area, metal fence and landscaping removal for repairs."
2,19-00913137,"There was a sewer line back up in bathroom. There appears to be an issue with the pipe under the bldg. Insd stated that his Landlord advised that the pipes are the insured's responsibility since they were desgined/fitted for the insured's restaurant (per their lease). Insd is not sure if there would be
any coverage since this policy is for BPP only but his lease states he responsible for the pipes. Insd given heads up that there may not be cov but we'll let an adjutster review to confirm coverage"
2,85-00360843,Drinking fountain leaked causing water damage to walls and flooring
0,19-00599725,"Please open a property loss claim. A customer damaged the counter and some registers at the store located at: 2024 E 95th St, Chicago IL 60617. Contact at the insured is:"
3,19-00662436,Coronavirus   Business interruption
0,19-00198902,Insd_s vehicle was stolen with product inside.  This claim is being made for the stolen product and possible loss of business.  (Stolen IV Claim#19-00198886)
2,85-00046277,TOILET OVERFLOW CAUSED WATER DAMAGE.
0,19-00155761,"Unknown person held up location at gunpoint. Exact amount of money stolen has been determined fromreports at $1,572.75."
2,19-00159684,"CEILING PIPES BROKEN AND LEAKED TO THE OFFICE. OFFICE FURNITURE. COMPUTERS, CABLES, MONITORS, PHONES. MOISTURE IN THE WALLS."
0,19-00843152,Due to the cold temps and wind  insureds window crack  insured did have a BB shot at the window in 2015 however the window recently crack
4,19-00891275,Electricity surged several times causing problems with computer than runs our xray machine. I have attached report from technician showing computer failed /overheated. We were not having any problems until electric surges
3,19-00660458,CORONAVIRUS  Business Interruption due to COVID-19
4,19-00057206,"Lightning strike caused extensive damage. They are discovering the extent of the damage as the weeks go on. Damage includes cameras, a motherboard, burglar alarm, fire alarm control panel, etc. There are two contacts for the damage as well as the administrator."
0,85-00170905,"INSURED BUILDING WAS BROKEN INTO THROUGH THE DOOR. THE DOOR IS WOODEN, THEY TOOK OUT A WOODEN PANEL OF THE DOOR."
0,85-00371790,Items stolen at The Allentown Paper Show in the Allentown Agricultural Hall (attached list)
4,19-00607170,Power outage caused damage to Alarm Panel
3,19-00671357,Business Interruption due to COVID-19
0,85-00306125,"*REKEYED TO A NEW CLM# 85-00324067*
Break in and equipment and tools stolen. Bobcat loader, forklift and electrical hand tools."
2,19-00787666,Water damage to business from faulty water heater.
2,85-00002925,"3 PT infested with ticks, ticks got in walls and ceiling, demo had to be done to help bug problem"
3,19-00644744,CORONAVIRUS - Loss of business - state mandating shut down next week
2,15-00984787,"A juke box, pinball and games were at the premises of Gunthers Tap Room in Northport and was destroyed by a fire"
2,85-00425313,"Location: 129 Acacia, Unit 209, Indian Head Park, IL 60525. Main line clogged, backed up and overflowed sink while unit owner was away on vacation resulting in water damage"
2,19-00281778,Water in boiler system through ventilation causing damage to boiler and gas pipes.
4,19-00251805,An Eversource meter was old. Insured called several times to have it replaced. Eversource did not respond for a year. Insured incurred many bills due to the faulty meter. It was Eversource_s responsibility to change.
2,19-00682599,Opened for business on Monday morning and found that a water leak had occurred during the weekend. Water had to be extracted from floor and area dried. Some baseboards and flooring damaged and removed. Unsure of other damage to office furniture/ equipment/ supplies that were on the affected floor. Some flooring will need replacement.
0,19-00367830,"Someone broke into insds business damaging a display table glass case, displays, glass window, display Oakley case and 100 frames were stolen."
2,19-00276258,Water damages
0,85-00089131,Insured made a fraudulent wire transfer of $1962.00
0,19-00900093,Dollar Rental/Purco Insds rental vehicle had a cracked ws.
3,19-00645992,CORONAVIRUS  CLOSED DOWN DUE TO COVID. WOULD LIKE TO DISCUSS PAYMENTS OPTIONS FOR EVERYTHING THAT NEEDS TO BE PAYED
2,85-00324261,"PIPES IN FRONT OF NI BUILDING BURST DUE TO VANDALISM CLMT KICKING THE PIPE RESULTING IN
WATER FROM PIPE TO DRAIN INTO OFFICE SPACE. DAMAGE TO FLOORS, WALLS, PERSONAL PROPERTY,
EQUIPMENT, EXAM TABLES AND EQUIPMENT. UNKNOWN EXTENT OF DAMAGES"
0,19-00196246,"Front windows shot at...windows are double pane windows - 4 are damaged. Incomplete estimate is $2,800 but it is missing a window (sterling glass came out when insured was not there and didn_t not get all the windows in estimate.) Police caught one individual who would not name others involved. His sentencing is 5/25/18. Person being charged is Moh Dawok. Please contact insd."
0,19-00573773,Individuals broke in and stole items from business
2,19-00134969,PIPE BURST INSIDE ROOM CAUSING DAMAGES TO INSUREDS BUSINESS EQUIPMENT AND PROPERTY
2,15-00962577,DOL Hail Damage 2-27-17
1,19-00912859,Mr. Tealy Hill pulled into insd parking lot to park his car. Somehow hit the gas instead of the break and ran into insured building. Section of wall of building where insd hit pushed in.
2,85-00108235,WATER PUMP FAILURE CARPET WET AND SOME UNKNOWN PERSONAL ITEMS
3,19-00661596,Coronavirus business interruption
0,85-00203134,"Gardener discovered window broken and called insured. $3,000 was paid."
0,29-00530982,"A DAN DE YOUNG OF 5706 S DIVISION, KENTWOOD, STRUCK INSDS OVERHEAD GARAGE DOORS. HE ALSO SNAPPED OFF THE 6X6 POSTS IN THE POLE TYPE STRUCTURE. INSD WANTS ENVIRONMENTAL DOOR 11501 3RD AVENUE NW GRAND RAPIDS, MI 616-453-0164"
2,19-00158643,"Flooding in building, mold damage"
2,19-00843205,**REKEYED FROM OLD CLM#19-00841712**Insured reported unit #3B fell asleep with their kitchen sink running which caused water to run down into the unit below which is #2B
2,19-00384704,"Unit owner woke to no heat and water in kitchen. Appears pipe broke under kitchen floor (slab), effected the furnace. Water damage to floor.Unit owner: Gary and Shirley McIver 10 Muirfield Dr Bridgton ME 04009 207-329-4278"
2,19-00586261,"Wind damaged the roof, resulting in water damage to the ceiling and the floor."
1,19-00714804,Damage to retaining wall from car accident.
1,19-00699603,6-24-20 - unknown person drove through insured_s gate
2,19-00817183,"Tenants rented the whole building and signed a 5 yr lease. They did not pay rent. Insured has loss of income, damage to building, bathroom damage, took furniture and attorney fees."
1,85-00192875,"*REKEYED FROM OLD CLM# 85-00087907*
Vehicle drove into building; building damage; Carpura Construction provided Board up to prevent additional loss after vehicle removed Location 31 631 South Quaker Lane, West Hartford CT 06110"
2,19-00254397,CHARRED AUTOCLAVE. MEDICAL INSTRUMENTS WERE DAMAGED.
2,85-00181090,Insured was advised that water was leaking from large storm over the weekend causing damage to the building
2,19-00191524,"In January, an ice dam caused considerable damage. At this point, the repair bills are totaling $6,681.48. There is also an invoice for drying and sanitizing carpeting in one unit which the association is trying to get the unit owner to pay for. This invoice totals $2,890.00. This would be added to the $6,681.48 if the association ends up having to pay for."
2,19-00209315,Insured salon flood. Insured thinks pedicure station leaked.
0,15-00828873,"INSURED SHIPPED BOX OF ITEMS VIA UPS, UPS DRIVER HAD AN ACCIDENT INSURED LOST ALL ITEMS SHIPPED"
1,85-00240231,"Driver drove vehicle into store window striking a client. Location 27915 23 Mile Road, Chesterfield, MI"
0,85-00163248,"Attempted burglary to insured retail store. Unknown culprits damaged store front door. Insured is tenant and lease has language on repairs to store
front door.  Lease included with loss accord and or secure from Insured or Agency"
2,19-00285677,Pipe broke damaging unit. Unknown details as to where pipe is located.
0,15-00830150,"Property was broken into - damage to property, items stolen"
3,19-00646714,Business income loss
2,19-00648814,"Water damage to Unit 17810 D and Unit 17810E Ice maker valve was leaking Please see mitigation and repair estimates attached, along with plumber_s invoice"
2,19-00878559,"We insure Cheryl Debes, owner of unit 201 at Lantow Lofts.  I have attached the association by-laws, photos of water damage and the property manager incident report for your review. The by-laws clearly indicate the association is responsible for damages to ceilings, walls and flooring.  Our insured would like to have her damages addressed.  Please contact her at 815 398-2006.  Thank you"
4,19-00696676,"California Street, Fremont, CA - heat pump failed at the building 39355 California ST, Fremont, CA. According to the HVAC tech the condenser water line that is fed from the cooling tower got clogged which caused this unit to fail."
2,15-00962377,"Leak from exterior roof of unit(s),caused water damage units #16 and #17"
4,85-00417395,"Damage to building electrical box due to water exposure. Insured states approx $4,000 in damage."
2,19-00663829,Expansion tank on the hot water heater cracked and flooded the cafeteria. Water looks like it also penetrated the walls in a couple of neighboring tenants.
0,19-00656112,"Someone broke intoinsured_s business, vandalized the bathroom.Broke the backdoor_s lock. Insured foundneedles everywhere. Inside back door waskicked in and the back counter was damaged.They also stole the business electrical equipmentand clients computers that they wereworking on."
2,19-00625557,"We had a minor incident at our Jersey City facility yesterday afternoon. One employee while lifting pallet on a pallet accidentally hit a sprinkler head, breaking the head triggering water flow from that head. This happened inside the freezer. The accident resulted in product damage and serious clean up due to icing. Time of accident is estimated."
2,19-00705732,Water going into 2 suites coming from another suite. Water was shut off. Unknown extent of damage at time
0,19-00762700,Insd_s vehicle was broken in to and insd_s property along with personally owned proprety of insd employee were stolen from the vehicle. See remarks
2,85-00039183,"Damage to the foundation of the home due to growing tree roots.  Visible mold and water intrusion in basement area; as well as, damage to the walls in basement."
1,85-00298583,Two veh motor accidents caused damage to store main sign. Drivers info will be included in PD report. Iv is afraid sign will fall and hurt someone.
2,19-00625817,"Water damage-unit 31A-pipe burst from neighbor-coming thru ceiling and wall-getting restoration company out for dry out-insured contact Karen Gardner, 404-250-0134 , Karen@melanieturnerinterios.com"
0,85-00028599,"There were two laptops being stored in the server room of the office, a brand new laptop and one that had been returned when the employee left the company. I went into the server room and noticed them missing."
2,85-00375524,Water damaged Duracell batteries stored in an IV on premises.
0,19-00883983,2nd floor foyer criminal mischief weapon tools and rock caused vandalism to window.
3,19-00686913,**REKEY TO NEW CLAIM 19-00691125**Insured sustained business interruption due to the riots
1,19-00464145,"Vehicle crashed thru building causing damage to structure, contents and causing loss of business."
4,85-00017692,"Equipment Breakdown 7-8 pieces of large equipment were ""fried"" due to a town wide outage. Walk-in freezer/ air conditioning/ blast chiller were all affected. Will send invoices for repairs as received."
1,19-00618587,INSD_s food truck broke down due to engine - INSD experiencing loss of business income from truck breaking down.
2,85-00007398,"Insd reports that they had an irrigation leak at the front of suites M101 and M102 at this property . Mitigation was started . Attached are expenses so far and floor plans . Unit 102 is vacant , but Unit 101 is occupied"
1,19-00579039,"(Clmt ) Other party lost control of vehicle, drove onto property, damage to sidewalk and utilities. Under ins property ded. Needs assistance recovering from driver_s insuranceA"
2,85-00197993,WATER LEAKING DAMAGE TO LOCATION
0,15-00981256,Air conditioner on back of the bldg was stolen. cords cut and grating ripped off building.
0,85-00282588,"2 thieves broke window near entrance and entered through that window opening. Various cash, checks, and property stolen."
2,19-00266606,Severe rain storm caused flooding in tenants office.
0,19-00009320,vandals broke in store and broke window and dented door. they also stole 2500 in inventory
0,19-00786414,After hours break in to insured office. The SFPD was at the office today and the case number is 200 737 479 - Officer Lopez #2407. Insured contact person- Kristine Fox propp+guerin : 416.454.1922 : www.proppandguerin.com
3,19-00644406,COVID-19 CLAIM Business income Protection and Coverage due to State Mandates to close all gyms and fitness facilities
3,19-00676954,**Duplicate of claim 19-00674665**CORONAVIRUS-Business Interruption-COVID-19
2,19-00913440,"Business interruption only Insured premises (500 B Stewart St; Azle, TX) shutdown due to electrical fire at junction box on exterior wall. Landlord has completed the repairs and City has inspected/approved but they can_t reopen for 3 more days waiting for Oncor to reset. Loss of Bus Income of 7 days expected."
4,19-00033156,"On July 31, for reasons unknown to us, the dongle stopped working.  Our server recognizes that the dongle is there, but reads as having zero licenses available rather than the 44 licenses that were previously there.  We have reached out to LexisNexis for a solution, but they are currently responding with a message that it is not their problem and they are not inclined to try and fix it.  I feel certain there is no avenue to fix this OTHER than through LexisNexis and will continue to try and work out something with them.  In the meantime, we thought it best to alert Hanover"
2,85-00342677,Machine caught fire in shop. Smoke damage
0,85-00163875,"BUSINESS WAS BROKEN INTO AND WINDOWS BROKEN, 1217 WORTH OF LIQUOR WAS STOLEN, 2400 CASH STOLEN AND ESTIMATE OF GLASS REPAIR WAS 2000"
4,85-00030213,INSD shut down since October 12th due to awaiting electric line being run. Electric company can't do so until transformer is delivered.
0,19-00730260,The outside box that stores the building key was broken into and the building key stolen from it. We believe a package or two has gone missing from the building in the interim but it is not items of any significant value. We are mainly concerned that the building could be robbed in the future in a more significant manner. Replacing the building key and replacing the box that stores the key for mail deliveries is our only solution.
2,19-00143990,FIRE DMG TO BUILDING
0,85-00317994,Vandalism to ac unit located on the exterior eastern wall southernmost unit.
2,85-00028240,major water damage due to upstairs hot water heater leaking
4,19-00879861,Mechanical breakdown of freezer causing damages to inventory
2,19-00816067,Prop/water overflowed from the toilet in laies bathroom. Damage to carpeting. See photos attached.
0,19-00249928,WINDOW WAS BROKEN
2,19-00052134,Air conditioner leaked causing water to leak to the second floor and was causing mold growth
4,15-00995661,DOL is date of discovery; insd working with their IT department to gather required information
2,85-00221132,WIND DAMAGE TO CONDO ROOF
1,19-00607664,"Dump truck load caught fire, the driver dumped the load in front of the building and the building caught fire"
2,19-00019513,"Building having roof replaced and in the middle it rained for 15 minutes, leaving Insd property and merchandise exposed to rain; flooring and walls as well"
2,15-00951920,"Storm damage found at insured location, 1/3 of ridge line of roof ripped off"
2,15-00925131,Wind caused trees to fall down and damage the security fence. Fence is 7_ high 8_ weed 2 channel impass trident fence. 15 fences and 23 fence posts were damaged.
